X, Y, Lat, Lon, HDT, indicator, p_n, t_n
-0.23104000,-0.08441000,25.01292413,121.54096720,315.76700000,2.00000000,1.00000000,315.00000000
-0.23835000,-0.07755000,25.01292413,121.54096710,315.53400000,2.00000000,1.00000000,315.00000000
-0.26827000,-0.08006000,25.01292393,121.54096690,315.15600000,2.00000000,1.00000000,315.00000000
-0.26827000,-0.08006000,25.01292393,121.54096690,314.07000000,2.00000000,1.00000000,315.00000000
-0.28289000,-0.06635000,25.01292393,121.54096670,315.59200000,2.00000000,1.00000000,315.00000000
-0.28322000,-0.08132000,25.01292383,121.54096680,314.65600000,2.00000000,1.00000000,315.00000000
-0.28322000,-0.08132000,25.01292383,121.54096680,314.37700000,2.00000000,1.00000000,315.00000000
-0.29818000,-0.08257000,25.01292373,121.54096670,314.19300000,2.00000000,1.00000000,315.00000000
-0.30583000,-0.09069000,25.01292363,121.54096670,315.03000000,2.00000000,1.00000000,315.00000000
-0.32078000,-0.09194000,25.01292353,121.54096660,314.80300000,2.00000000,1.00000000,315.00000000
-0.33574000,-0.09320000,25.01292343,121.54096650,316.12600000,2.00000000,1.00000000,315.00000000
-0.34339000,-0.10131000,25.01292333,121.54096650,314.24200000,2.00000000,1.00000000,315.00000000
-0.34339000,-0.10131000,25.01292333,121.54096650,314.65300000,2.00000000,1.00000000,315.00000000
-0.35834000,-0.10257000,25.01292323,121.54096640,314.62400000,2.00000000,1.00000000,315.00000000
-0.36599000,-0.11068000,25.01292313,121.54096640,313.92900000,2.00000000,1.00000000,315.00000000
-0.38094000,-0.11194000,25.01292303,121.54096630,313.74900000,2.00000000,1.00000000,315.00000000
-0.38826000,-0.10508000,25.01292303,121.54096620,315.59600000,2.00000000,1.00000000,315.00000000
-0.40322000,-0.10634000,25.01292293,121.54096610,313.85600000,2.00000000,1.00000000,315.00000000
-0.42582000,-0.11571000,25.01292273,121.54096600,314.46100000,2.00000000,1.00000000,315.00000000
-0.44077000,-0.11696000,25.01292263,121.54096590,315.29600000,2.00000000,1.00000000,315.00000000
-0.42582000,-0.11571000,25.01292273,121.54096600,314.22100000,2.00000000,1.00000000,315.00000000
-0.43346000,-0.12382000,25.01292263,121.54096600,314.75200000,2.00000000,1.00000000,315.00000000
-0.43346000,-0.12382000,25.01292263,121.54096600,314.26900000,2.00000000,1.00000000,315.00000000
-0.43346000,-0.12382000,25.01292263,121.54096600,315.71200000,2.00000000,1.00000000,315.00000000
-0.44077000,-0.11696000,25.01292263,121.54096590,314.96800000,2.00000000,1.00000000,315.00000000
-0.44077000,-0.11696000,25.01292263,121.54096590,314.45300000,2.00000000,1.00000000,315.00000000
-0.43313000,-0.10885000,25.01292273,121.54096590,315.77300000,2.00000000,1.00000000,315.00000000
-0.43313000,-0.10885000,25.01292273,121.54096590,314.77400000,2.00000000,1.00000000,315.00000000
-0.44809000,-0.11011000,25.01292263,121.54096580,315.75300000,2.00000000,1.00000000,315.00000000
-0.44809000,-0.11011000,25.01292263,121.54096580,315.73200000,2.00000000,1.00000000,315.00000000
-0.45540000,-0.10325000,25.01292263,121.54096570,314.21600000,2.00000000,1.00000000,315.00000000
-0.46305000,-0.11136000,25.01292253,121.54096570,315.18100000,2.00000000,1.00000000,315.00000000
-0.46305000,-0.11136000,25.01292253,121.54096570,313.84700000,2.00000000,1.00000000,315.00000000
-0.47800000,-0.11262000,25.01292243,121.54096560,316.14700000,2.00000000,1.00000000,315.00000000
-0.48565000,-0.12073000,25.01292233,121.54096560,313.80200000,2.00000000,1.00000000,315.00000000
-0.48565000,-0.12073000,25.01292233,121.54096560,315.75800000,2.00000000,1.00000000,315.00000000
-0.50061000,-0.12199000,25.01292223,121.54096550,315.45300000,2.00000000,1.00000000,315.00000000
-0.50061000,-0.12199000,25.01292223,121.54096550,314.41700000,2.00000000,1.00000000,315.00000000
-0.50825000,-0.13010000,25.01292213,121.54096550,314.12700000,2.00000000,1.00000000,315.00000000
-0.52321000,-0.13136000,25.01292203,121.54096540,315.84400000,2.00000000,1.00000000,315.00000000
-0.52321000,-0.13136000,25.01292203,121.54096540,315.38700000,2.00000000,1.00000000,315.00000000
