X,Y,Lat,Lon,HDT,indicator,p_n,t_n
-0.34339,-0.10131,25.01292333,121.5409665,-1.0,2.0,1.0,90.0
-0.35834,-0.10257,25.01292323,121.5409664,-1.0,2.0,1.0,90.0
-0.36599,-0.11068,25.01292313,121.5409664,-1.0,2.0,1.0,90.0
-0.38094,-0.11194,25.01292303,121.5409663,-1.0,2.0,1.0,90.0
-0.38826,-0.10508,25.01292303,121.5409662,-1.0,2.0,1.0,90.0
-0.40322,-0.10634,25.01292293,121.5409661,-1.0,2.0,1.0,90.0
-0.42582,-0.11571,25.01292273,121.540966,-1.0,2.0,1.0,90.0
-0.44077,-0.11696,25.01292263,121.5409659,-1.0,2.0,1.0,90.0
-0.42582,-0.11571,25.01292273,121.540966,-1.0,2.0,1.0,90.0
-0.43346,-0.12382,25.01292263,121.540966,-1.0,2.0,1.0,90.0
-0.43346,-0.12382,25.01292263,121.540966,-1.0,2.0,1.0,90.0
-0.43346,-0.12382,25.01292263,121.540966,-1.0,2.0,1.0,90.0
-0.44077,-0.11696,25.01292263,121.5409659,-1.0,2.0,1.0,90.0
-0.44077,-0.11696,25.01292263,121.5409659,-1.0,2.0,1.0,90.0
-0.43313,-0.10885,25.01292273,121.5409659,-1.0,2.0,1.0,90.0
-0.43313,-0.10885,25.01292273,121.5409659,-1.0,2.0,1.0,90.0
-0.44809,-0.11011,25.01292263,121.5409658,-1.0,2.0,1.0,90.0
-0.44809,-0.11011,25.01292263,121.5409658,-1.0,2.0,1.0,90.0
-0.4554,-0.10325,25.01292263,121.5409657,-1.0,2.0,1.0,90.0
-0.46305,-0.11136,25.01292253,121.5409657,-1.0,2.0,1.0,90.0
-0.46305,-0.11136,25.01292253,121.5409657,-1.0,2.0,1.0,90.0
-0.478,-0.11262,25.01292243,121.5409656,-1.0,2.0,1.0,90.0
-0.48565,-0.12073,25.01292233,121.5409656,-1.0,2.0,1.0,90.0
-0.48565,-0.12073,25.01292233,121.5409656,-1.0,2.0,1.0,90.0
-0.50061,-0.12199,25.01292223,121.5409655,-1.0,2.0,1.0,90.0
-0.50061,-0.12199,25.01292223,121.5409655,-1.0,2.0,1.0,90.0
-0.50825,-0.1301,25.01292213,121.5409655,-1.0,2.0,1.0,90.0
-0.52321,-0.13136,25.01292203,121.5409654,-1.0,2.0,1.0,90.0
-0.52321,-0.13136,25.01292203,121.5409654,-1.0,2.0,1.0,90.0
-0.5385,-0.14758,25.01292183,121.5409654,-1.0,2.0,1.0,90.0
-0.54614,-0.1557,25.01292173,121.5409654,-1.0,2.0,1.0,90.0
-0.56874,-0.16507,25.01292153,121.5409653,-1.0,2.0,1.0,90.0
-0.57639,-0.17318,25.01292143,121.5409653,-1.0,2.0,1.0,90.0
-0.59134,-0.17444,25.01292133,121.5409652,-1.0,2.0,1.0,90.0
-0.61196,-0.09398,25.01292173,121.5409645,269.528,2.0,1.0,135.0
-0.61196,-0.09398,25.01292173,121.5409645,269.682,2.0,1.0,135.0
-0.60465,-0.10084,25.01292173,121.5409646,269.491,2.0,1.0,135.0
-0.60465,-0.10084,25.01292173,121.5409646,269.378,2.0,1.0,135.0
-0.60465,-0.10084,25.01292173,121.5409646,269.024,2.0,1.0,135.0
-0.6196,-0.10209,25.01292163,121.5409645,269.246,2.0,1.0,135.0
-0.62692,-0.09524,25.01292163,121.5409644,269.002,2.0,1.0,135.0
-0.64221,-0.11146,25.01292143,121.5409644,269.098,2.0,1.0,135.0
-0.64952,-0.10461,25.01292143,121.5409643,269.074,2.0,1.0,135.0
-0.65716,-0.11272,25.01292133,121.5409643,269.558,2.0,1.0,135.0
-0.67245,-0.12895,25.01292113,121.5409643,270.078,2.0,1.0,135.0
-0.65716,-0.11272,25.01292133,121.5409643,270.249,2.0,1.0,135.0
-0.66481,-0.12083,25.01292123,121.5409643,269.856,2.0,1.0,135.0
-0.66481,-0.12083,25.01292123,121.5409643,269.799,2.0,1.0,135.0
-0.66481,-0.12083,25.01292123,121.5409643,270.229,2.0,1.0,135.0
-0.66481,-0.12083,25.01292123,121.5409643,269.782,2.0,1.0,135.0
